customer_id,first_name,last_name,date_of_birth,gender,city,province,country,customer_since,customer_status
100001,John,Thomas,1999-01-07,Female,Vancouver,British Columbia,Canada,2020-08-08,Active
100002,Sophia,Taylor,1982-06-05,Female,Charlottetown,Prince Edward Island,Canada,2015-09-29,Active
100003,Jessica,White,1986-08-17,Male,Brampton,Ontario,Canada,2012-07-13,Active
100004,Daniel,Martin,1976-01-27,Male,Ottawa,Ontario,Canada,2007-02-05,Active
100005,Daniel,Taylor,1980-10-22,Male,Quebec City,Quebec,Canada,2014-01-22,Active
100006,Emma,Garcia,1980-08-22,Male,Montreal,Quebec,Canada,2024-12-06,Active
100007,John,Martin,1999-09-20,Male,Victoria,British Columbia,Canada,2025-07-07,Active
100008,Olivia,Wilson,1999-07-30,Female,Montreal,Quebec,Canada,2020-01-11,Active
100009,David,Lee,1957-12-10,Male,Calgary,Alberta,Canada,1991-08-01,Active
100010,John,Smith,1944-12-02,Male,Brampton,Ontario,Canada,1994-04-26,Active
100011,Sarah,Martin,1960-05-31,Female,Montreal,Quebec,Canada,2015-01-28,Active
100012,Ava,Jackson,1973-05-22,Female,Edmonton,Alberta,Canada,2003-11-05,Closed
100013,Sophia,Martin,1957-11-16,Male,Mississauga,Ontario,Canada,1979-04-03,Active
100014,Sophia,Garcia,1969-11-26,Male,Laval,Quebec,Canada,1993-11-09,Active
100015,Olivia,Thompson,1971-05-04,Female,Toronto,Ontario,Canada,2004-03-29,Active
100016,Sophia,Martin,2004-01-22,Male,Brampton,Ontario,Canada,2026-03-07,Active
100017,Sarah,Clark,1971-09-07,Female,Laval,Quebec,Canada,2015-05-09,Active
100018,John,Thompson,1955-10-19,Female,Ottawa,Ontario,Canada,1987-01-15,Active
100019,Emma,Clark,1969-10-06,Male,Surrey,British Columbia,Canada,2010-10-26,Active
100020,Daniel,Jackson,1945-08-10,Female,Victoria,British Columbia,Canada,2013-10-05,Active
100021,Sarah,Taylor,1945-11-10,Male,Winnipeg,Manitoba,Canada,1981-06-06,Active
100022,William,Taylor,1983-10-18,Male,Red Deer,Alberta,Canada,2020-07-11,Active
100023,Michael,Martin,1959-11-11,Male,Ottawa,Ontario,Canada,2009-04-20,Active
100024,Mia,White,1983-05-18,Female,Ottawa,Ontario,Canada,2018-03-29,Active
100025,Sophia,Brown,1946-05-02,Male,Edmonton,Alberta,Canada,1972-08-17,Active
